X,Y,Z,BHID,LENGTH,A0,B0,C0,FROM,TO,Zn,Ag,Pb,RADIUS
1706.805775,4846.545362,2134.661828,DDH-179,0.72,284.90251698,0.11476502,0,298.29,299.01,13.20853333,1.456,1.216,1
1851.574745,4921.594577,2008.285312,DDH-180,0.45,296.73089225,-13.47361254,0,30.3,30.75,0.71658,0.111464,0.023884,1
1863.009737,4929.946054,1997.253926,DDH-181,0.9,324.4603014,7.26385332,0,26.1,27,0.11832,0.055228,0.0016,1
1853.234053,4921.928729,1998.612399,DDH-182,0.3,298.90642452,4.13084648,0,28.2,28.5,0.537,0.17502,0.023868,1
1877.948113,4946.425701,2019.767512,DDH-183,0.4,358.97241387,-25.48502958,0,42.4,42.8,0.52962,0.121616,0.007848,1
1877.938051,4946.989803,2020.036423,DDH-183,0.85,358.98388962,-25.48265938,0,42.8,43.65,3.37146,0.76104,0.114352,1
1852.271854,4923.545332,2015.081953,DDH-184,0.51,300.40118188,-23.49769562,0,32.96,33.47,0.591,0.130024,0.03152,1
1851.687173,4919.541594,1998.531967,DDH-185,0.3,292.95820083,5.62641952,0,28.4,28.7,0.47658,0.206512,0.0278,1
1859.156984,4923.522598,1974.956268,DDH-186,0.9,307.70635577,45.89387477,0,34.45,35.35,10.34317957,5.799448,4.555864,1
1858.743972,4923.841714,1974.417674,DDH-186,0.6,307.67695018,45.90622984,0,35.35,35.95,0.46854,0.101524,0.046856,1
1938.081147,4975.950505,1859.093157,DDH-187,0.13,3.77726395,-1.80077101,0,426.34,426.47,2.34,0.11464,0.064,1
1650.267334,4809.710015,2407.564819,DDH-188,0.13,302.51,-0.64,0,39.4,39.53,8.82,0.916,0.032,1
1649.845712,4809.978721,2407.570404,DDH-188,0.87,302.51,-0.64,0,39.53,40.4,1.92,0.184,0.012,1
1649.365062,4810.285047,2407.576771,DDH-188,0.27,302.51,-0.64,0,40.4,40.67,4.02,0.344,0.056,1
1648.812737,4810.637053,2407.584087,DDH-188,1.04,302.51,-0.64,0,40.67,41.71,0.48,0.072,0.004,1
1648.159222,4811.053548,2407.592744,DDH-188,0.51,302.51,-0.64,0,41.71,42.22,2.82,0.26,0.012,1
1757.621723,4905.668756,2323.568837,DDH-189,0.85,309.67477968,-22.64450831,0,296.65,297.5,0.17856,0.111112,0.027776,1
1757.213289,4906.007588,2323.790196,DDH-189,0.3,309.68260483,-22.63954967,0,297.5,297.8,5.09184,0.427316,0.107828,1
1756.751619,4906.390697,2324.040373,DDH-189,1,309.69144998,-22.6339438,0,297.8,298.8,0.77568,0.091488,0.007956,1
2442.715642,5397.917101,2420.370021,DDH-190,1.3,306.14123134,-11.48854533,0,47.3,48.6,0.1776,0.457776,0.007892,1
2441.706711,5398.654049,2420.624172,DDH-190,1.25,306.14984299,-11.50782927,0,48.6,49.85,0.05946,0.067408,0.003964,1
2501.897625,5439.6852,2410.01854,DDH-191,0.6,14.74499697,0.74732177,0,70.9,71.5,0.05994,0.095924,0.003996,1
2502.088555,5440.410422,2410.008704,DDH-191,0.9,14.75437205,0.75564676,0,71.5,72.4,0.11922,0.151032,0.007948,1
2502.305087,5441.2323,2409.997424,DDH-191,0.8,14.76499719,0.76508171,0,72.4,73.2,0.05928,0.205452,0.011852,1
2502.547272,5442.150821,2409.984651,DDH-191,1.1,14.7768724,0.77562663,0,73.2,74.3,0.17976,1.677988,0.027968,1
2502.738605,5442.875932,2409.974444,DDH-191,0.4,14.7862476,0.78395154,0,74.3,74.7,0.05934,0.205776,0.003956,1
2502.942824,5443.649349,2409.963436,DDH-191,1.2,14.79624784,0.79283141,0,74.7,75.9,0.05994,0.135892,0.003996,1
2459.399093,5416.79614,2389.457219,DDH-192,0.4,336.03026781,21.6819574,0,55.1,55.5,0.2382,0.551808,0.01588,1
2482.769618,5442.253044,2378.217143,DDH-193,0.3,0.52493368,25.12981572,0,77.2,77.5,0.05964,0.071544,0.003976,1
2482.805737,5446.120759,2376.396277,DDH-193,0.45,0.54901225,25.23785019,0,81.4,81.85,0.41952,1.729924,0.035956,1
2482.831631,5448.766628,2375.149546,DDH-193,0.3,0.57242884,25.21957765,0,84.4,84.7,0.47826,0.1116,0.007972,1
2461.288179,5409.384836,2424.506246,DDH-194,0.4,335.12979665,-16.81240353,0,45.4,45.8,0.084,0.0332,0.0032,1
2461.056725,5409.884224,2424.672574,DDH-194,0.75,335.13727204,-16.81566145,0,45.8,46.55,0.114,0.0844,0.0048,1
2460.744876,5410.557348,2424.896805,DDH-194,0.8,335.14734798,-16.82005212,0,46.55,47.35,0.024,0.0424,0.0036,1
2412.373385,5379.209415,2426.535666,DDH-195,0.4,281.27941722,-13.0889975,0,69.25,69.65,0.23982,1.103116,0.04796,1
1786.04,4928.89,2251.77,DDH-196,1.52,0,0,0,48.01,49.53,4.08,0.264556,0.108,1
1772.340921,4916.59912,2251.77,DDH-197,0.48,340,0,0,38.41,38.89,12.47,3.04238,0.248,1
1772.133999,4917.167634,2251.77,DDH-197,0.73,340,0,0,38.89,39.62,10.98,1.014128,0.06,1
