X,Y,Z,BHID,LENGTH,A0,B0,C0,FROM,TO,Zn,Ag,Pb,RADIUS
1873.845977,5039.730616,2178.237238,DDH-013,1,335.1891314,29.35666933,0,47.15,48.15,12.57358825,25.014776,12.115016,1
1873.544243,5040.383303,2177.832786,DDH-013,0.65,335.1891314,29.35666933,0,48.15,48.8,13.66354076,24.667188,13.421196,1
1873.242509,5041.03599,2177.428334,DDH-013,1,335.1891314,29.35666933,0,48.8,49.8,18.4451959,2.371036,1.111544,1
1872.876771,5041.827126,2176.938089,DDH-013,1,335.1891314,29.35666933,0,49.8,50.8,24.15866009,2.043104,0.67594,1
1872.511033,5042.618261,2176.447845,DDH-013,1,335.1891314,29.35666933,0,50.8,51.8,21.00730557,2.613484,1.084672,1
1872.145295,5043.409397,2175.9576,DDH-013,1,335.1891314,29.35666933,0,51.8,52.8,13.30037687,3.668124,1.968564,1
1871.889278,5043.963192,2175.614428,DDH-013,0.4,335.1891314,29.35666933,0,52.8,53.2,13.86727133,0.670644,0.86436,1
1871.752127,5044.259868,2175.430587,DDH-013,0.35,335.1891314,29.35666933,0,53.2,53.55,8.47722,0.247524,0.433268,1
1871.541827,5044.714771,2175.148696,DDH-013,0.8,335.1891314,29.35666933,0,53.55,54.35,13.85426405,0.881772,1.468168,1
1909.118243,5068.26304,2184.207422,DDH-014,0.75,14.6499042,14.46667445,0,71,71.75,5.12922,0.115308,0.095428,1
1909.301913,5068.96565,2184.02006,DDH-014,0.75,14.6499042,14.46667445,0,71.75,72.5,13.75850504,1.106284,1.884632,1
1909.491705,5069.69168,2183.826452,DDH-014,0.8,14.6499042,14.46667445,0,72.5,73.3,4.11366,0.202704,0.313992,1
1909.681497,5070.417711,2183.632844,DDH-014,0.75,14.6499042,14.46667445,0,73.3,74.05,14.05823488,0.483996,0.7338,1
1909.840678,5071.026639,2183.470463,DDH-014,0.55,14.6499042,14.46667445,0,74.05,74.6,0.05976,0.07174,0.007972,1
1932.536733,5078.427325,2185.731622,DDH-015,0.55,28.0305378,10.59391182,0,88.05,88.6,5.27346,0.421876,0.710936,1
1932.802344,5078.926225,2185.62591,DDH-015,0.6,28.0305378,10.59391182,0,88.6,89.2,2.98596,0.214676,0.288836,1
1933.1026,5079.490198,2185.50641,DDH-015,0.7,28.0305378,10.59391182,0,89.2,89.9,4.47138,0.246424,0.294116,1
1933.425952,5080.097555,2185.377717,DDH-015,0.7,28.0305378,10.59391182,0,89.9,90.6,12.54839968,1.579156,2.455588,1
1905.074838,5053.060223,2152.77551,DDH-016,0.85,14.5985561,42.73243048,0,72.03,72.88,2.02062,0.356576,0.095088,1
1905.243311,5053.707066,2152.158006,DDH-016,0.97,14.5985561,42.73243048,0,72.88,73.85,8.37624,5.821784,0.487128,1
1905.360872,5054.158435,2151.72711,DDH-016,0.3,14.5985561,42.73243048,0,73.85,74.15,3.6483,3.090112,0.147528,1
1905.416412,5054.37168,2151.523538,DDH-016,0.3,14.5985561,42.73243048,0,74.15,74.45,1.25346,0.839632,0.075608,1
1886.107079,5040.719618,2158.682045,DDH-017,0.35,352.3039483,47.67770023,0,57.75,58.1,14.80601175,1.242508,1.753896,1
1886.073266,5040.969831,2158.404782,DDH-017,0.4,352.3039483,47.67770023,0,58.1,58.5,12.85432852,0.48188,0.51374,1
1886.025928,5041.32013,2158.016613,DDH-017,0.65,352.3039483,47.67770023,0,58.5,59.15,10.97769948,1.35092,2.390088,1
1885.962812,5041.787195,2157.499054,DDH-017,0.75,352.3039483,47.67770023,0,59.15,59.9,2.517,0.163804,0.227728,1
1830.049902,5041.599098,2217.286592,DDH-018,0.7,305.2986039,-11.95396392,0,69.2,69.9,13.60138041,5.710864,2.456072,1
1829.41114,5042.051344,2217.452293,DDH-018,0.9,305.2986039,-11.95396392,0,69.9,70.8,16.55231772,3.35062,2.110092,1
1828.732455,5042.531854,2217.62835,DDH-018,0.8,305.2986039,-11.95396392,0,70.8,71.6,10.66043598,8.46246,3.921724,1
1828.133615,5042.955835,2217.783694,DDH-018,0.7,305.2986039,-11.95396392,0,71.6,72.3,14.13176638,9.473684,2.970496,1
1827.45493,5043.436346,2217.959751,DDH-018,1,305.2986039,-11.95396392,0,72.3,73.3,11.37568133,5.322968,1.7504,1
1826.836129,5043.874458,2218.120273,DDH-018,0.55,305.2986039,-11.95396392,0,73.3,73.85,14.07811666,1.143084,1.446844,1
1819.537255,4997.494659,2038.484157,DDH-019,0.35,3.54008383,10.93143256,0,183.45,183.8,13.80424993,3.13834,2.632412,1
1819.573394,4998.077739,2038.371351,DDH-019,0.84,3.55316774,10.92666401,0,183.8,184.64,18.96443164,2.421012,1.457344,1
1819.613943,4998.729419,2038.24533,DDH-019,0.49,3.5677904,10.92133381,0,184.64,185.13,24.29566798,2.290924,1.193024,1
1819.64638,4999.248805,2038.144937,DDH-019,0.57,3.57944415,10.91708519,0,185.13,185.7,0.35322,0.058868,0.011772,1
1819.680153,4999.787792,2038.040795,DDH-019,0.53,3.59153729,10.91267579,0,185.7,186.23,24.91653308,1.001964,0.408644,1
1819.714349,5000.331681,2037.935749,DDH-019,0.58,3.60373999,10.90822583,0,186.23,186.81,22.07067456,1.628924,0.953516,1
1731.529122,4960.907113,2050.734463,DDH-020,0.93,330.0374799,7.97538079,0,167.36,168.29,17.84582593,1.668664,1.285428,1
1731.163184,4961.542021,2050.631664,DDH-020,0.55,330.04735067,7.99511351,0,168.29,168.84,13.92568501,3.154952,4.572684,1
1730.794902,4962.181252,2050.527917,DDH-020,0.94,330.05728908,8.01497929,0,168.84,169.78,12.06613333,4.096,2.504,1
1730.463805,4962.756159,2050.434395,DDH-020,0.4,330.06622779,8.03284492,0,169.78,170.18,13.37723147,0.898964,0.775656,1
1730.135281,4963.326803,2050.341366,DDH-020,0.93,330.07510056,8.05057701,0,170.18,171.11,17.36784435,3.02946,3.451432,1
1729.698231,4964.086273,2050.217245,DDH-020,0.84,330.08690985,8.074175,0,171.11,171.95,20.90544798,1.037924,0.538924,1
1729.26383,4964.841499,2050.093467,DDH-020,0.92,330.09865376,8.09763926,0,171.95,172.87,22.27105861,1.513944,1.366532,1
1728.837008,4965.583898,2049.971451,DDH-020,0.81,330.11019879,8.12070316,0,172.87,173.68,18.72006363,1.853328,1.530492,1
1728.430085,4966.292009,2049.854756,DDH-020,0.84,330.12121113,8.14270012,0,173.68,174.52,16.33959153,1.395536,0.948964,1
1728.149029,4966.781273,2049.773946,DDH-020,0.3,330.12882034,8.15789781,0,174.52,174.82,16.52767254,0.488096,0.190476,1
1727.924732,4967.17184,2049.709333,DDH-020,0.61,330.13489476,8.17002915,0,174.82,175.43,25.2777779,2.178772,2.290504,1
1727.624101,4967.695478,2049.622559,DDH-020,0.61,330.14303904,8.18629297,0,175.43,176.04,18.32238456,1.07514,1.043164,1
1727.326019,4968.214845,2049.536327,DDH-020,0.6,330.15111719,8.20242326,0,176.04,176.64,17.7835361,1.811276,1.575368,1
1808.516858,5003.066103,2110.270153,DDH-021,0.3,320.08038944,-16.05261705,0,115.65,115.95,1.3734,0.382164,0.09554,1
1830.657175,4998.919539,2110.176721,DDH-022,0.8,328.6154973,-19.52965,0,99.7,100.5,10.18252085,3.375848,1.96094,1
1830.227709,4999.623545,2110.469228,DDH-022,0.95,328.61547367,-19.529475,0,100.5,101.45,15.1236411,3.10304,1.409396,1
1829.724619,5000.448238,2110.811875,DDH-022,1.1,328.615446,-19.52927,0,101.45,102.55,20.51035769,4.972268,3.767828,1
1829.233799,5001.252817,2111.146162,DDH-022,0.9,328.615419,-19.52907,0,102.55,103.45,14.87535121,5.64992,3.74402,1
1828.865684,5001.856253,2111.396874,DDH-022,0.6,328.61539875,-19.52892,0,103.45,104.05,20.97802372,4.444444,3.231612,1
1828.54665,5002.37923,2111.614157,DDH-022,0.7,328.6153812,-19.52879,0,104.05,104.75,25.64921524,2.602684,1.86414,1
1846.290193,5004.73239,2110.409074,DDH-023,1,340.3754613,-21.52858688,0,98.6,99.6,10.6276516,1.293928,0.810704,1
1845.97797,5005.608625,2110.776133,DDH-023,1,340.3981256,-21.53893121,0,99.6,100.6,11.80155345,6.969212,4.84606,1
1845.665926,5006.48489,2111.143268,DDH-023,1,340.39948157,-21.53924325,0,100.6,101.6,20.96704632,5.225008,2.608524,1
1845.353903,5007.36116,2111.510409,DDH-023,1,340.40083755,-21.53955529,0,101.6,102.6,16.02035627,1.809484,1.187724,1
1845.0809,5008.127901,2111.831662,DDH-023,0.75,340.40202404,-21.53982831,0,102.6,103.35,17.47101945,0.887644,0.467812,1
1844.878109,5008.697482,2112.070309,DDH-023,0.55,340.40290543,-21.54003113,0,103.35,103.9,10.52032392,4.113192,2.873656,1
1844.636331,5009.376602,2112.354853,DDH-023,1,340.40395633,-21.54027294,0,103.9,104.9,17.3619,4.352,3.056,1
1844.378969,5010.099539,2112.657757,DDH-023,0.65,340.40507503,-21.54053034,0,104.9,105.55,14.00436037,3.718512,2.307076,1
1799.320375,5001.868111,2119.917843,DDH-024,0.5,345.01663421,8.54598909,0,135,135.5,7.66776,0.483228,0.65096,1
1799.128632,5002.58457,2119.806389,DDH-024,1,345.01792196,8.54625609,0,135.5,136.5,0.29952,0.079872,0.007988,1
1876.754295,5017.042397,2106.13846,DDH-025,0.95,17.45795638,13.01602099,0,151.25,152.2,0.41766,0.027844,0.019888,1
1877.010151,5017.855584,2105.941252,DDH-025,0.8,17.47262738,13.03447393,0,152.2,153,0.23838,0.027812,0.023836,1
1877.258877,5018.645415,2105.749416,DDH-025,0.9,17.48688131,13.05239887,0,153,153.9,0.23922,0.019936,0.01196,1
1877.441877,5019.226097,2105.608195,DDH-025,0.35,17.49736347,13.06557848,0,153.9,154.25,1.31424,0.03186,0.03186,1
1900.186448,5031.29883,2107.739222,DDH-026,1.15,22.70084342,9.78955468,0,171.35,172.5,1.07742,0.103752,0.039904,1
1900.519218,5032.094289,2107.590446,DDH-026,0.6,22.7018768,9.78957044,0,172.5,173.1,20.63361294,3.118068,6.584788,1
1900.766428,5032.685198,2107.479926,DDH-026,0.7,22.70264445,9.78958215,0,173.1,173.8,4.54548,0.167464,0.211324,1
1827.824505,5007.613231,2125.970624,DDH-027,0.35,356.75124509,5.11193981,0,134.15,134.5,10.86954,0.368196,0.59146,1
1827.792088,5008.185024,2125.919373,DDH-027,0.8,356.75899834,5.11550372,0,134.5,135.3,14.07392533,0.80016,1.226116,1
1827.744308,5009.030285,2125.843545,DDH-027,0.9,356.77045981,5.12077195,0,135.3,136.2,12.61266126,1.284184,0.566784,1
1632.796767,4914.081784,2163.718716,DDH-028,0.7,287.4221427,-7.91796952,0,151.75,152.45,15.48958924,2.122172,1.527172,1
1632.277002,4914.244892,2163.794482,DDH-028,0.4,287.42274055,-7.91796678,0,152.45,152.85,15.77107701,2.523624,1.854332,1
1599.09694,4924.033316,2225.487418,DDH-029,0.65,285.64251,-24.01107,0,203.85,204.5,16.56827195,5.139776,2.707668,1
1598.525178,4924.193412,2225.751912,DDH-029,0.65,285.64251,-24.01107,0,204.5,205.15,4.25322,0.742812,0.219648,1
1713.44359,4962.111701,2103.883711,DDH-030,1.05,321.64086,17.54391,0,117.15,118.2,0.1197,0.004,0.003992,1
1946.188288,5035.114741,1995.487447,DDH-031,1,185.38155895,10.00908627,0,40.4,41.4,15.34053221,6.303392,5.36926,1
1946.095787,5034.134335,1995.313558,DDH-031,1,185.39822199,10.01908937,0,41.4,42.4,15.1873267,3.015116,2.637232,1
1946.003004,5033.153987,1995.139496,DDH-031,1,185.41488607,10.02909164,0,42.4,43.4,12.15787386,1.262444,1.111112,1
1945.909938,5032.173696,1994.965263,DDH-031,1,185.43155118,10.03909309,0,43.4,44.4,15.20734635,1.143428,1.406376,1
1945.816591,5031.193463,1994.790858,DDH-031,1,185.44821733,10.0490937,0,44.4,45.4,21.68817288,0.419664,0.139888,1
1945.722961,5030.213288,1994.616282,DDH-031,1,185.46488451,10.05909349,0,45.4,46.4,17.7557828,2.81724,3.10056,1
1945.638452,5029.331179,1994.459016,DDH-031,0.8,185.47988586,10.06809258,0,46.4,47.2,14.11873989,3.111024,3.055112,1
1945.563142,5028.547122,1994.319107,DDH-031,0.8,185.49322108,10.0760912,0,47.2,48,14.9393075,4.22832,3.754972,1
1945.490013,5027.787601,1994.183465,DDH-031,0.75,185.5061402,10.08383935,0,48,48.75,1.0188,0.023972,0.047944,1
1945.407244,5026.930119,1994.030197,DDH-031,1,185.52072705,10.09258666,0,48.75,49.75,11.55506487,2.735248,2.416268,1
1945.312386,5025.950193,1993.854873,DDH-031,1,185.53739868,10.10258278,0,49.75,50.75,16.6902101,0.7502,0.694332,1
1945.217246,5024.970325,1993.679376,DDH-031,1,185.55407134,10.11257806,0,50.75,51.75,25.32798265,0.782436,0.534932,1
1945.14093,5024.186471,1993.538855,DDH-031,0.6,185.56741019,10.12057366,0,51.75,52.35,13.31969186,0.327736,0.183852,1
1945.078791,5023.549617,1993.424601,DDH-031,0.7,185.57824848,10.12706969,0,52.35,53.05,23.35255882,0.971224,0.559552,1
1964.175811,5048.142229,1996.86311,DDH-032,0.9,149.05422218,10.48165854,0,31.35,32.25,14.083219,1.42238,0.638296,1
1964.630833,5047.383211,1996.699299,DDH-032,0.9,149.06142621,10.49245737,0,32.25,33.15,7.65186,0.938472,0.369936,1
1964.997298,5046.771757,1996.567219,DDH-032,0.55,149.06722982,10.5011563,0,33.15,33.7,11.6423374,2.86222,2.198972,1
1965.351058,5046.181368,1996.439591,DDH-032,0.85,149.07283361,10.50955517,0,33.7,34.55,1.79142,0.238852,0.051752,1
1965.818424,5045.401182,1996.270784,DDH-032,1,149.08023907,10.5206535,0,34.55,35.55,0.29976,0.095924,0.011992,1
1966.323552,5044.557701,1996.088092,DDH-032,1,149.08824557,10.53265149,0,35.55,36.55,0.11922,0.107312,0.007948,1
1966.727556,5043.882889,1995.94179,DDH-032,0.6,149.09465121,10.54224973,0,36.55,37.15,2.74026,0.389196,0.135028,1
1966.954769,5043.503296,1995.859437,DDH-032,0.3,149.09825456,10.54764868,0,37.15,37.45,6.09318,1.334128,0.54958,1
1967.118851,5043.229141,1995.799934,DDH-032,0.35,149.10085705,10.55154789,0,37.45,37.8,11.02807134,5.809636,2.472352,1
1956.611351,5038.218897,1995.937356,DDH-033,0.73,168.77876836,10.20336636,0,37.5,38.23,10.72892216,4.216628,2.30216,1
1956.776696,5037.383746,1995.784017,DDH-033,1,168.82405217,10.21701139,0,38.23,39.23,18.74075377,2.093488,2.025568,1
1956.967019,5036.418117,1995.606489,DDH-033,1,168.8764068,10.23277776,0,39.23,40.23,18.75217697,1.671332,0.879648,1
1957.156455,5035.452339,1995.428687,DDH-033,1,168.92876498,10.24853528,0,40.23,41.23,14.80381093,1.173896,0.45762,1
1957.345004,5034.486412,1995.25061,DDH-033,1,168.98112663,10.26428389,0,41.23,42.23,18.30233123,1.048644,0.13158,1
1957.532666,5033.520336,1995.072258,DDH-033,1,169.03349166,10.28002357,0,42.23,43.23,11.37558042,1.976928,0.855212,1
1957.719441,5032.554111,1994.89363,DDH-033,1,169.08586,10.29575426,0,43.23,44.23,17.72863559,2.607312,0.86248,1
1957.90543,5031.587854,1994.714883,DDH-033,1,169.1182821,10.29007596,0,44.23,45.23,13.25359987,1.179752,0.76126,1
1958.088197,5030.636017,1994.539036,DDH-033,0.97,169.14294881,10.27668356,0,45.23,46.2,13.09996561,0.506784,0.2075,1
1958.270561,5029.684068,1994.363416,DDH-033,1,169.16761367,10.26328917,0,46.2,47.2,12.11619956,1.538156,1.210548,1
1958.450676,5028.741673,1994.189804,DDH-033,0.95,169.19202628,10.25002881,0,47.2,48.15,11.70001496,1.215252,0.830024,1
1958.630396,5027.799168,1994.016415,DDH-033,1,169.21643707,10.23676651,0,48.15,49.15,16.27749057,1.724276,1.06476,1
1958.768373,5027.074089,1993.88319,DDH-033,0.5,169.23521334,10.22656343,0,49.15,49.65,13.26408467,2.772908,0.537848,1
1958.850129,5026.643844,1993.804206,DDH-033,0.39,169.24635342,10.22050907,0,49.65,50.04,18.47517835,1.092068,0.829016,1
1960.39504,5045.120127,1993.257682,DDH-034,1,157.51706623,16.25856823,0,31.7,32.7,1.13952,0.09996,0.027988,1
1960.762125,5044.233079,1992.977695,DDH-034,1,157.52070295,16.26038609,0,32.7,33.7,12.26812583,0.339864,0.027988,1
1961.12915,5043.346016,1992.697676,DDH-034,1,157.52433973,16.26220389,0,33.7,34.7,14.08331709,1.12974,0.642716,1
1961.496115,5042.458938,1992.417628,DDH-034,1,157.52797658,16.26402163,0,34.7,35.7,11.66268,0.833332,0.733652,1
1961.863021,5041.571845,1992.137549,DDH-034,1,157.5316135,16.2658393,0,35.7,36.7,2.56872,0.22302,0.13142,1
1962.229867,5040.684736,1991.857439,DDH-034,1,157.53525049,16.26765692,0,36.7,37.7,14.08278225,1.407496,1.048644,1
1962.541639,5039.930682,1991.619322,DDH-034,0.7,157.53834198,16.26920184,0,37.7,38.4,14.05581191,1.919552,1.226604,1
1962.79836,5039.309688,1991.42321,DDH-034,0.7,157.54088794,16.2704741,0,38.4,39.1,13.98296879,2.79952,1.689296,1
